./mnist-knn.py 7 2 0.2 0.1 0.40 > teste12.log

Validação:  0.8751785714285715
Teste:      0.8735
Classification Report:                precision    recall  f1-score   support

           0       0.94      0.94      0.94      1343
           1       0.97      0.98      0.97      1600
           2       0.91      0.90      0.91      1380
           3       0.85      0.75      0.80      1433
           4       0.80      0.81      0.80      1295
           5       0.85      0.84      0.85      1273
           6       0.92      0.95      0.94      1396
           7       0.93      0.92      0.92      1503
           8       0.78      0.83      0.80      1357
           9       0.77      0.78      0.78      1420

    accuracy                           0.87     14000
   macro avg       0.87      0.87      0.87     14000
weighted avg       0.87      0.87      0.87     14000

